1;Legnica;bolesławiecki, głogowski, jaworski, karkonoski, kamiennogórski, legnicki, lubański, lubiński, lwówecki, polkowicki, zgorzelecki, złotoryjski, Jelenia Góra, Legnica
2;Wałbrzych;dzierżoniowski, kłodzki, świdnicki, wałbrzyski, ząbkowicki, Wałbrzych
3;Wrocław;górowski, milicki, oleśnicki, oławski, strzeliński, średzki, trzebnicki, wołowski, wrocławski, Wrocław
4;Bydgoszcz;bydgoski, inowrocławski, mogileński, nakielski, sępoleński, świecki, tucholski, żniński, Bydgoszcz
5;Toruń;aleksandrowski, brodnicki, chełmiński, golubsko-dobrzyński, grudziądzki, lipnowski, radziejowski, rypiński, toruński, wąbrzeski, włocławski, Grudziądz, Toruń, Włocławek
6;Lublin;janowski, kraśnicki, lubartowski, lubelski, łęczyński, łukowski, opolski, puławski, rycki, świdnicki, Lublin
7;Chełm;bialski, biłgorajski, chełmski, hrubieszowski, krasnostawski, parczewski, radzyński, tomaszowski, włodawski, zamojski, Biała Podlaska, Chełm, Zamość
8;Zielona Góra;gorzowski, krośnieński, międzyrzecki, nowosolski, słubicki, strzelecko-drezdenecki, sulęciński, świebodziński, wschowski, zielonogórski, żagański, żarski, Gorzów Wielkopolski, Zielona Góra
9;Łódź;brzeziński, łódzki wschodni, Łódź
10;Piotrków Trybunalski;bełchatowski, opoczyński, piotrkowski, radomszczański, rawski, skierniewicki, tomaszowski, Piotrków Trybunalski, Skierniewice
11;Sieradz;kutnowski, łaski, łęczycki, łowicki, pabianicki, pajęczański, poddębicki, sieradzki, wieluński, wieruszowski, zduńskowolski, zgierski
12;Chrzanów;chrzanowski, myślenicki, oświęcimski, suski, wadowicki
13;Kraków;krakowski, miechowski, olkuski, Kraków
14;Nowy Sącz;gorlicki, limanowski, nowosądecki, nowotarski, tatrzański, Nowy Sącz
15;Tarnów;bocheński, brzeski, dąbrowski, proszowicki, tarnowski, wielicki, Tarnów
16;Płock;ciechanowski, gostyniński, mławski, płocki, płoński, przasnyski, sierpecki, sochaczewski, żuromiński, żyrardowski, Płock
17;Radom;białobrzeski, grójecki, kozienicki, lipski, przysuski, radomski, szydłowiecki, zwoleński, Radom
18;Siedlce;garwoliński, łosicki, makowski, miński, ostrołęcki, ostrowski, pułtuski, siedlecki, sokołowski, węgrowski, wyszkowski, Ostrołęka, Siedlce
19;Warszawa;Warszawa
20;Warszawa;grodziski, legionowski, nowodworski, otwocki, piaseczyński, pruszkowski, warszawski zachodni, wołomiński
21;Opole;brzeski, głubczycki, kędzierzyńsko-kozielski, kluczborski, krapkowicki, namysłowski, nyski, oleski, opolski, prudnicki, strzelecki, Opole
22;Krosno;bieszczadzki, brzozowski, jarosławski, jasielski, krośnieński, leski, lubaczowski, przemyski, przeworski, sanocki, Krosno, Przemyśl
23;Rzeszów;dębicki, kolbuszowski, leżajski, łańcucki, mielecki, niżański, ropczycko-sędziszowski, rzeszowski, stalowowolski, strzyżowski, tarnobrzeski, Rzeszów, Tarnobrzeg
24;Białystok;białostocki, sokólski, augustowski, wysokomazowiecki, bielski, łomżyński, grajewski, siemiatycki, zambrowski, hajnowski, moniecki, kolneński, suwalski, sejneński, Białystok, Suwałki, Łomża
25;Gdańsk;gdański, kwidzyński, malborski, nowodworski, starogardzki, sztumski, tczewski, Gdańsk, Sopot
26;Gdynia;bytowski, chojnicki, człuchowski, kartuski, kościerski, lęborski, pucki, słupski, wejherowski, Gdynia, Słupsk
27;Bielsko-Biała;bielski, cieszyński, pszczyński, żywiecki, Bielsko-Biała
28;Częstochowa;częstochowski, kłobucki, lubliniecki, myszkowski, Częstochowa
29;Gliwice;gliwicki, tarnogórski, Bytom, Gliwice, Zabrze
30;Rybnik;mikołowski, raciborski, rybnicki, wodzisławski, Jastrzębie-Zdrój, Rybnik, Żory
31;Katowice;bieruńsko-lędziński, Chorzów, Katowice, Mysłowice, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice, Tychy
32;Sosnowiec;będziński, zawierciański, Dąbrowa Górnicza, Jaworzno, Sosnowiec
33;Kielce;buski, jędrzejowski, kazimierski, kielecki, konecki, opatowski, ostrowiecki, pińczowski, sandomierski, skarżyski, starachowicki, staszowski, włoszczowski, Kielce
34;Elbląg;bartoszycki, braniewski, działdowski, elbląski, iławski, lidzbarski, nowomiejski, ostródzki, Elbląg
35;Olsztyn;ełcki, giżycki, gołdapski, kętrzyński, mrągowski, nidzicki, olecki, olsztyński, piski, szczycieński, węgorzewski, Olsztyn
36;Kalisz;gostyński, jarociński, kaliski, kępiński, kościański, krotoszyński, leszczyński, ostrowski, ostrzeszowski, pleszewski, rawicki, Kalisz, Leszno
37;Konin;gnieźnieński, kolski, koniński, słupecki, średzki, śremski, turecki, wrzesiński, Konin
38;Piła;chodzieski, czarnkowsko-trzcianecki, grodziski, międzychodzki, nowotomyski, obornicki, pilski, szamotulski, wągrowiecki, wolsztyński, złotowski
39;Poznań;poznański, Poznań
40;Koszalin;białogardzki, choszczeński, drawski, kołobrzeski, koszaliński, sławieński, szczecinecki, świdwiński, wałecki, Koszalin
41;Szczecin;goleniowski, gryficki, gryfiński, kamieński, łobeski, myśliborski, policki, pyrzycki, stargardzki, Szczecin, Świnoujście